Name|Ingredients|Link
california roll sushi|short-grain white rice, water, rice vinegar, white sugar, imitation crabmeat, mayonnaise, nori seaweed, sesame seed, cucumber, avocado|https://www.allrecipes.com/recipe/189477/california-roll-sushi/
kima|butter, onion, garlic, beef, tomato, pea, masala curry powder, salt, paprika, chili powder, black pepper, coconut|https://www.allrecipes.com/recipe/246250/kima/
soba noodle salad with chicken and sesame|rice vinegar, vegetable oil, sesame oil, brown sugar, soy sauce, ginger, buckwheat soba noodle, vegetable oil, chicken breast, garlic, salt, celery, carrot, red bell pepper, cilantro, green onion, sesame seed|https://www.allrecipes.com/recipe/245993/soba-noodle-salad-with-chicken-and-sesame/
spicy baked tofu|cooking spray, tofu, soy sauce, chili sauce, ginger, hoisin sauce|https://www.allrecipes.com/recipe/241806/spicy-baked-tofu/
iranian / persian salad shirazi|tomato, red onion, english cucumber, olive oil, lemon, mint, dill, sumac, salt|https://www.allrecipes.com/recipe/239818/iranian-persian-salad-shirazi/
lamb korma|lamb meat, olive oil, brown onion, red potato, curry powder, water, coconut milk, chickpea garbanzo bean|https://www.allrecipes.com/recipe/238977/lamb-korma/
nuoc cham (vietnamese spicy dipping sauce)|water, red chile pepper, garlic, fish sauce, rice vinegar, white sugar, lemon|https://www.allrecipes.com/recipe/230330/nuoc-cham-vietnamese-spicy-dipping-sauce/
bibimbap (korean rice with mixed vegetables)|english cucumber, gochujang korean pepper paste, spinach, soy sauce, olive oil, carrot, garlic, red pepper flake, beef top round steak, olive oil, egg, white rice, sesame oil, sesame seed, gochujang korean pepper paste|https://www.allrecipes.com/recipe/228240/bibimbap-korean-rice-with-mixed-vegetables/
curried coconut chicken|chicken breast, salt, vegetable oil, curry powder, onion, garlic, coconut milk, tomato, tomato sauce, sugar|https://www.allrecipes.com/recipe/68532/curried-coconut-chicken/
general tsao's chicken ii|vegetable oil, egg, chicken thigh, salt, white sugar, white pepper, cornstarch, vegetable oil, green onion, garlic, red chilies, orange, white sugar, ginger, chicken broth, rice vinegar, soy sauce, sesame oil, peanut oil, cornstarch, water|https://www.allrecipes.com/recipe/91499/general-tsaos-chicken-ii/
sweet and sour chicken i|pineapple, cornstarch, water, white sugar, distilled white vinegar, orange food color, chicken breast, self-rising flour, vegetable oil, cornstarch, salt, white pepper, egg, water, vegetable oil, green bell pepper|https://www.allrecipes.com/recipe/8536/sweet-and-sour-chicken-i/
chicken stir-fry|white rice, water, soy sauce, brown sugar, cornstarch, ginger, garlic, red pepper flake, chicken breast, sesame oil, green bell pepper, water chestnut, broccoli, carrot, onion, sesame oil|https://www.allrecipes.com/recipe/223382/chicken-stir-fry/
easy indian butter chicken|butter, onion, garlic, tomato sauce, heavy cream, salt, cayenne pepper, garam masala, chicken breast, vegetable oil, tandoori masala|https://www.allrecipes.com/recipe/141169/easy-indian-butter-chicken/
restaurant style beef and broccoli|oyster sauce, sesame oil, sherry, soy sauce, white sugar, cornstarch, beef round steak, vegetable oil, ginger, garlic, broccoli|https://www.allrecipes.com/recipe/191156/restaurant-style-beef-and-broccoli/
general tsao's chicken ii|vegetable oil, egg, chicken thigh, salt, white sugar, white pepper, cornstarch, vegetable oil, green onion, garlic, red chilies, orange, white sugar, ginger, chicken broth, rice vinegar, soy sauce, sesame oil, peanut oil, cornstarch, water|https://www.allrecipes.com/recipe/91499/general-tsaos-chicken-ii/
sweet and sour chicken i|pineapple, cornstarch, water, white sugar, distilled white vinegar, orange food color, chicken breast, self-rising flour, vegetable oil, cornstarch, salt, white pepper, egg, water, vegetable oil, green bell pepper|https://www.allrecipes.com/recipe/8536/sweet-and-sour-chicken-i/
chicken stir-fry|white rice, water, soy sauce, brown sugar, cornstarch, ginger, garlic, red pepper flake, chicken breast, sesame oil, green bell pepper, water chestnut, broccoli, carrot, onion, sesame oil|https://www.allrecipes.com/recipe/223382/chicken-stir-fry/
easy indian butter chicken|butter, onion, garlic, tomato sauce, heavy cream, salt, cayenne pepper, garam masala, chicken breast, vegetable oil, tandoori masala|https://www.allrecipes.com/recipe/141169/easy-indian-butter-chicken/
restaurant style beef and broccoli|oyster sauce, sesame oil, sherry, soy sauce, white sugar, cornstarch, beef round steak, vegetable oil, ginger, garlic, broccoli|https://www.allrecipes.com/recipe/191156/restaurant-style-beef-and-broccoli/
shoyu chicken|soy sauce, brown sugar, water, garlic, onion, ginger, black pepper, oregano, red pepper flake, cayenne pepper, paprika, chicken thigh|https://www.allrecipes.com/recipe/202463/shoyu-chicken/
sweet and sour pork iii|pork butt, salt, white sugar, soy sauce, egg white, green onion, vegetable oil, cornstarch, vegetable oil, celery, green bell pepper, onion, white sugar, salt, water, salt, white sugar, apple cider vinegar, ketchup, soy sauce, pineapple, cornstarch, water|https://www.allrecipes.com/recipe/31144/sweet-and-sour-pork-iii/
broccoli beef i|all-purpose flour, beef broth, white sugar, soy sauce, round steak, ginger, garlic, broccoli|https://www.allrecipes.com/recipe/20593/broccoli-beef-i/
beef bulgogi|flank steak, soy sauce, white sugar, green onion, garlic, sesame seed, sesame oil, black pepper|https://www.allrecipes.com/recipe/100606/beef-bulgogi/
restaurant style egg drop soup|chicken broth, ginger, chive, salt, cornstarch, egg, egg yolk|https://www.allrecipes.com/recipe/45515/restaurant-style-egg-drop-soup/
mama's asian chicken and rice|water, brown sugar, orange, soy sauce, ketchup, white vinegar, garlic, red pepper flake, five-spice powder, orange, olive oil, chicken breast, water, white rice, cornstarch, water, green onion|https://www.allrecipes.com/recipe/214043/mamas-asian-chicken-and-rice/
crispy orange beef|beef top sirloin, white sugar, rice wine vinegar, orange concentrate, salt, soy sauce, grain rice, water, cornstarch, orange, ginger, garlic, broccoli, oil|https://www.allrecipes.com/recipe/57966/crispy-orange-beef/
sesame beef|round steak, soy sauce, white sugar, vegetable oil, garlic, green onion, sesame seed|https://www.allrecipes.com/recipe/14679/sesame-beef/
indian chicken curry (murgh kari)|chicken breast, salt, cooking oil, onion, garlic, ginger, curry powder, cumin, turmeric, coriander, cayenne pepper, water, tomato, plain yogurt, cilantro, salt, water, garam masala, cilantro, lemon|https://www.allrecipes.com/recipe/212721/indian-chicken-curry-murgh-kari/
